Latitude,Longitude (Decimal Degrees),Total Magnetic Field (nT),Corrected Total Magnetic Field (nT)
40.9792,-111.6743,138.9,-36.5
40.9792,-111.674,138.9,-37.0
40.9792,-111.6737,139.1,-36.3
40.9793,-111.6735,139.6,-37.3
40.9793,-111.6732,140.6,-39.0
40.9793,-111.673,141.8,-41.1
40.9793,-111.6727,143.1,-43.1
40.9793,-111.6725,144.2,-43.2
40.9793,-111.6722,145.2,-42.2
40.9793,-111.672,146.0,-42.0
40.9794,-111.6717,147.1,-42.5
40.9794,-111.6715,148.6,-42.7
40.9794,-111.6712,149.7,-42.8
40.9794,-111.671,150.4,-43.6
40.9794,-111.6707,151.0,-43.3
40.9794,-111.6705,152.1,-43.8
40.9794,-111.6702,153.2,-43.9
40.9795,-111.67,154.1,-43.2
40.9795,-111.6697,155.0,-44.7
40.9795,-111.6695,155.8,-44.3
40.9795,-111.6691,155.0,-45.9
40.9795,-111.6689,151.6,-45.7
40.9795,-111.6686,146.4,-45.3
40.9795,-111.6684,141.1,-44.9
40.9796,-111.6681,137.7,-44.8
40.9796,-111.6679,136.9,-45.1
40.9796,-111.6676,136.7,-44.8
40.9796,-111.6674,135.0,-45.8
40.9796,-111.6671,131.7,-46.4
40.9796,-111.6669,127.4,-45.7
40.9797,-111.6666,123.1,-45.9
40.9797,-111.6664,119.3,-45.7
40.9797,-111.6661,115.5,-45.8
40.9797,-111.6659,111.2,-45.7
40.9797,-111.6656,106.8,-46.0
40.9797,-111.6654,103.5,-46.3
40.9797,-111.6651,101.1,-45.8
40.9798,-111.6649,98.3,-46.0
40.9798,-111.6646,94.5,-46.1
40.9798,-111.6644,90.2,-45.9
40.9798,-111.664,86.1,-45.5
40.9798,-111.6638,82.5,-45.6
40.9798,-111.6635,79.2,-46.1
40.9798,-111.6633,76.6,-46.2
40.9799,-111.663,75.4,-45.5
40.9799,-111.6628,76.4,-45.3
40.9799,-111.6625,80.4,-45.3
40.9799,-111.6623,87.0,-44.6
40.9799,-111.662,94.1,-43.4
40.9799,-111.6618,99.6,-43.8
40.9799,-111.6615,102.6,-42.9
40.98,-111.6613,103.6,-44.6
40.98,-111.661,103.4,-43.9
40.98,-111.6608,103.0,-43.6
40.98,-111.6605,102.9,-44.8
40.98,-111.6603,103.6,-44.2
40.98,-111.66,105.3,-44.7
40.98,-111.6598,108.4,-44.6
40.9801,-111.6595,112.8,-44.7
40.9801,-111.6592,117.0,-43.9
40.9801,-111.6589,118.6,-43.8
40.9801,-111.6587,117.3,-43.8
40.9801,-111.6584,115.2,-44.3
40.9801,-111.6582,113.8,-44.1
40.9801,-111.6579,112.9,-44.3
40.9802,-111.6577,111.1,-43.9
40.9802,-111.6574,108.3,-43.7
40.9802,-111.6572,105.8,-44.0
40.9802,-111.6569,104.9,-43.6
40.9802,-111.6567,105.9,-43.2
40.9802,-111.6564,108.2,-43.8
40.9802,-111.6562,111.1,-44.0
40.9803,-111.6559,114.4,-43.7
40.9803,-111.6557,118.4,-44.1
40.9803,-111.6554,122.2,-43.5
40.9803,-111.6552,124.7,-43.1
40.9803,-111.6549,125.5,-43.3
40.9803,-111.6547,125.9,-42.8
40.9804,-111.6543,126.2,-43.5
40.9804,-111.6541,124.9,-43.1
40.9804,-111.6538,121.2,-43.2
40.9804,-111.6536,116.9,-42.8
40.9804,-111.6533,114.5,-43.5
40.9804,-111.6531,114.6,-42.2
40.9804,-111.6528,115.8,-42.2
40.9805,-111.6526,117.2,-42.2
40.9805,-111.6523,118.8,-42.3
40.9805,-111.6521,121.5,-43.5
40.9805,-111.6518,124.4,-42.4
40.9805,-111.6516,125.6,-42.4
40.9805,-111.6513,124.8,-42.3
40.9805,-111.6511,123.9,-42.6
40.9806,-111.6508,123.6,-42.7
40.9806,-111.6506,123.7,-42.7
40.9806,-111.6503,124.8,-42.3
40.9806,-111.6501,127.0,-42.7
40.9806,-111.6498,129.7,-42.6
40.9806,-111.6496,131.9,-42.1
40.9806,-111.6492,133.3,-42.4
40.9807,-111.649,134.5,-42.2
40.9807,-111.6487,136.8,-42.1
40.9807,-111.6485,140.3,-42.7
40.9807,-111.6482,142.4,-42.1
40.9807,-111.648,140.9,-41.7
40.9807,-111.6477,136.5,-42.0
40.9807,-111.6475,131.1,-41.6
40.9808,-111.6472,125.4,-42.3
40.9808,-111.647,120.7,-41.6
40.9808,-111.6467,118.0,-41.7
40.9808,-111.6465,115.9,-42.0
40.9808,-111.6462,112.6,-42.3
40.9808,-111.646,107.9,-42.1
40.9809,-111.6457,103.0,-43.1
40.9809,-111.6455,99.3,-41.9
40.9809,-111.6452,97.7,-42.4
40.9809,-111.645,98.6,-41.6
40.9809,-111.6446,100.2,-42.0
40.9809,-111.6444,100.4,-42.0
40.9809,-111.6441,100.3,-42.5
40.9809,-111.6439,102.7,-40.9
40.981,-111.6436,107.5,-41.5
40.981,-111.6434,113.3,-41.3
40.981,-111.6431,120.3,-41.6
40.981,-111.6429,129.1,-43.4
40.981,-111.6426,136.0,-41.9
40.981,-111.6424,137.5,-42.8
40.9811,-111.6421,135.1,-42.9
40.9811,-111.6419,132.4,-43.0
