lat,long,corrected_magnetic
37.0302,-113.4045,9.7
37.0302,-113.405,15.4
37.0302,-113.4055,7.9
37.0302,-113.406,2.9
37.0302,-113.4065,3.5
37.0302,-113.4069,6.5
37.0303,-113.4074,4.3
37.0303,-113.4079,4.9
37.0303,-113.4084,-1.0
37.0303,-113.4089,0.1
37.0303,-113.4094,1.8
37.0303,-113.4099,-2.1
37.0303,-113.4104,-5.4
37.0303,-113.4108,-3.1
37.0303,-113.4113,-6.8
37.0303,-113.4118,-1.6
37.0303,-113.4123,3.0
37.0303,-113.4128,3.7
37.0304,-113.4133,-9.6
37.0304,-113.4138,-5.0
37.0304,-113.4143,-8.6
37.0304,-113.4147,-3.9
37.0304,-113.4152,-7.2
37.0304,-113.4157,-13.6
37.0304,-113.4162,-8.6
37.0304,-113.4167,-8.0
37.0304,-113.4172,-6.2
37.0304,-113.4177,-10.5
37.0304,-113.4182,-11.4
37.0305,-113.4186,-7.8
37.0305,-113.4191,-14.8
37.0305,-113.4196,-15.8
37.0305,-113.4201,-15.1
37.0305,-113.4206,-13.5
37.0305,-113.4211,-17.9
37.0305,-113.4216,-17.3
37.0305,-113.4221,-24.9
37.0305,-113.4225,-21.7
37.0305,-113.423,-18.9
37.0305,-113.4235,-20.9
37.0305,-113.424,-23.6
37.0306,-113.4245,-23.9
37.0306,-113.425,-26.9
37.0306,-113.4255,-24.9
37.0306,-113.426,-29.1
37.0306,-113.4264,-28.1
37.0306,-113.4269,-22.9
37.0306,-113.4274,-28.7
37.0306,-113.4279,-29.8
37.0306,-113.4284,-25.1
37.0306,-113.4289,-27.7
37.0306,-113.4294,-23.9
37.0307,-113.4299,-30.5
37.0307,-113.4304,-38.5
37.0307,-113.4308,-31.2
37.0307,-113.4313,-33.2
37.0307,-113.4318,-29.2
37.0307,-113.4323,-26.2
37.0307,-113.4328,-27.9
37.0307,-113.4333,-26.1
37.0307,-113.4338,-28.9
37.0307,-113.4343,-33.3
37.0307,-113.4347,-31.6
37.0307,-113.4352,-29.4
37.0308,-113.4357,-32.6
37.0308,-113.4362,-29.8
37.0308,-113.4367,-40.4
37.0308,-113.4372,-27.4
37.0308,-113.4377,-32.7
37.0308,-113.4382,-27.5
37.0308,-113.4386,-44.8
37.0308,-113.4391,-44.6
37.0308,-113.4396,-36.7
37.0308,-113.4401,-41.7
37.0308,-113.4406,-41.9
37.0309,-113.4411,-36.2
37.0309,-113.4416,-38.8
37.0309,-113.4421,-42.3
37.0309,-113.4425,-40.4
37.0309,-113.443,-42.7
37.0309,-113.4435,-46.2
37.0309,-113.444,-44.8
37.0309,-113.4445,-42.4
37.0309,-113.445,-40.0
37.0309,-113.4455,-41.5
37.0309,-113.446,-41.5
37.0309,-113.4464,-44.9
37.031,-113.4469,-30.5
37.031,-113.4474,-35.9
37.031,-113.4479,-33.0
37.031,-113.4484,-39.0
37.031,-113.4489,-36.0
37.031,-113.4494,-40.3
37.031,-113.4499,-37.8
37.031,-113.4503,-39.3
37.031,-113.4508,-37.6
37.031,-113.4513,-36.6
37.031,-113.4518,-34.8
37.0311,-113.4523,-33.6
37.0311,-113.4528,-46.4
37.0311,-113.4533,-40.4
37.0311,-113.4538,-43.3
37.0311,-113.4542,-43.8
37.0311,-113.4547,-34.7
37.0311,-113.4552,-41.5
37.0311,-113.4557,-52.0
37.0311,-113.4562,-54.5
37.0311,-113.4567,-45.7
37.0311,-113.4572,-37.9
37.0312,-113.4577,-42.5
37.0312,-113.4581,-49.8
37.0312,-113.4586,-49.1
37.0312,-113.4591,-52.2
37.0312,-113.4596,-41.4
37.0312,-113.4601,-54.6
37.0312,-113.4606,-44.7
37.0312,-113.4611,-53.8
37.0312,-113.4616,-51.5
37.0312,-113.462,-47.5
37.0312,-113.4625,-47.0
37.0312,-113.463,-48.2
37.0313,-113.4635,-58.5
37.0313,-113.464,-50.9
37.0313,-113.4645,-48.2
37.0313,-113.465,-54.0
37.0313,-113.4655,-51.7
37.0313,-113.4659,-49.6
37.0313,-113.4664,-42.0
37.0313,-113.4669,-56.6
37.0313,-113.4674,-47.0
37.0313,-113.4679,-50.4
37.0313,-113.4684,-44.0
37.0314,-113.4689,-43.8
37.0314,-113.4694,-54.6
37.0314,-113.4698,-47.3
37.0314,-113.4703,-43.2
37.0314,-113.4708,-47.6
37.0314,-113.4713,-48.1
37.0314,-113.4718,-54.5
37.0314,-113.4723,-51.8
37.0314,-113.4728,-57.2
37.0314,-113.4733,-52.7
37.0314,-113.4737,-46.1
37.0315,-113.4742,-53.9
37.0315,-113.4747,-54.0
37.0315,-113.4752,-48.3
37.0315,-113.4757,-55.4
37.0315,-113.4762,-53.2
37.0315,-113.4767,-52.0
37.0315,-113.4772,-52.7
37.0315,-113.4776,-49.7
37.0315,-113.4781,-52.9
37.0315,-113.4786,-55.4
37.0315,-113.4791,-50.4
37.0315,-113.4796,-54.0
37.0315,-113.4801,-48.8
37.0315,-113.4806,-55.4
37.0315,-113.4811,-50.3
37.0315,-113.4816,-48.2
37.0315,-113.4821,-46.6
37.0315,-113.4826,-54.1
37.0315,-113.4831,-52.7
37.0315,-113.4836,-52.2
37.0315,-113.4841,-51.8
37.0315,-113.4845,-54.1
37.0315,-113.485,-51.2
37.0315,-113.4855,-44.7
37.0314,-113.486,-49.5
37.0314,-113.4865,-45.6
37.0314,-113.487,-49.8
37.0314,-113.4875,-53.2
37.0314,-113.488,-61.5
37.0314,-113.4885,-52.0
37.0314,-113.489,-59.4
37.0314,-113.4895,-52.2
37.0314,-113.49,-46.2
37.0314,-113.4905,-54.9
37.0314,-113.491,-51.0
37.0314,-113.4915,-44.8
37.0314,-113.4919,-54.9
37.0314,-113.4924,-50.5
37.0314,-113.4929,-48.0
37.0314,-113.4934,-46.4
37.0314,-113.4939,-45.7
37.0314,-113.4944,-45.8
37.0314,-113.4949,-46.2
37.0314,-113.4954,-42.5
37.0314,-113.4959,-52.0
37.0314,-113.4964,-51.0
37.0314,-113.4969,-45.7
37.0314,-113.4974,-50.7
37.0314,-113.4979,-49.8
37.0314,-113.4984,-48.9
37.0313,-113.4988,-50.1
37.0313,-113.4993,-46.3
37.0313,-113.4998,-50.0
37.0313,-113.5003,-52.6
37.0313,-113.5008,-44.9
37.0313,-113.5013,-46.3
37.0313,-113.5018,-55.1
37.0313,-113.5023,-51.3
37.0313,-113.5028,-47.5
37.0313,-113.5033,-49.5
37.0313,-113.5038,-48.1
37.0313,-113.5043,-48.1
37.0313,-113.5048,-44.9
37.0313,-113.5053,-47.5
37.0313,-113.5058,-50.8
37.0313,-113.5062,-46.4
37.0313,-113.5067,-54.6
37.0313,-113.5072,-55.5
37.0313,-113.5077,-51.1
37.0313,-113.5082,-55.9
37.0313,-113.5087,-55.4
37.0313,-113.5092,-54.7
37.0313,-113.5097,-51.2
37.0313,-113.5102,-50.5
37.0313,-113.5107,-53.6
37.0312,-113.5112,-58.4
37.0312,-113.5117,-52.9
37.0312,-113.5122,-50.9
37.0312,-113.5127,-48.3
37.0312,-113.5131,-51.9
37.0312,-113.5136,-47.2
37.0312,-113.5141,-51.7
37.0312,-113.5146,-51.0
37.0312,-113.5151,-37.6
37.0312,-113.5156,-44.8
37.0312,-113.5161,-44.7
37.0312,-113.5166,-50.1
37.0312,-113.5171,-47.8
37.0312,-113.5176,-50.2
37.0312,-113.5181,-45.8
37.0312,-113.5186,-40.6
37.0312,-113.5191,-43.0
37.0312,-113.5196,-44.9
37.0312,-113.52,-48.1
37.0312,-113.5205,-47.0
37.0312,-113.521,-49.0
37.0312,-113.5215,-50.7
37.0312,-113.522,-43.3
37.0312,-113.5225,-42.3
37.0312,-113.523,-51.5
37.0312,-113.5235,-45.2
37.0312,-113.524,-48.4
37.0311,-113.5245,-48.9
