lat,long,corrected_magnetic
38.0328,-112.8245,-213.1
38.0328,-112.8251,-190.2
38.0328,-112.8256,-163.4
38.0329,-112.8262,-117.2
38.0329,-112.8267,-70.9
38.033,-112.8273,-23.0
38.033,-112.8278,25.7
38.033,-112.8284,41.4
38.0331,-112.829,43.3
38.0331,-112.8295,15.7
38.0331,-112.8301,-21.6
38.0332,-112.8306,-62.0
38.0332,-112.8312,-90.6
38.0333,-112.8317,-97.8
38.0333,-112.8323,-83.7
38.0333,-112.8328,-66.2
38.0334,-112.8334,-45.7
38.0334,-112.8339,-35.4
38.0334,-112.8345,-48.2
38.0335,-112.835,-90.3
38.0335,-112.8356,-165.6
38.0335,-112.8361,-237.8
38.0336,-112.8367,-298.4
38.0336,-112.8372,-342.1
38.0337,-112.8378,-373.8
38.0337,-112.8383,-406.4
38.0337,-112.8389,-426.0
38.0338,-112.8394,-438.0
38.0338,-112.84,-453.3
38.0338,-112.8405,-470.4
38.0339,-112.8411,-482.0
38.0339,-112.8416,-490.1
38.034,-112.8422,-492.5
38.034,-112.8427,-487.2
38.034,-112.8433,-479.5
38.0341,-112.8438,-466.2
38.0341,-112.8444,-470.9
38.034,-112.8448,-478.7
38.0339,-112.8453,-471.7
38.0338,-112.8457,-434.4
38.0337,-112.8461,-395.0
38.0336,-112.8465,-354.1
38.0335,-112.847,-306.1
38.0334,-112.8474,-246.3
38.0333,-112.8478,-192.1
38.0332,-112.8483,-154.5
38.0331,-112.8487,-144.5
38.033,-112.8491,-161.0
38.0329,-112.8496,-173.7
38.0328,-112.85,-172.8
38.0327,-112.8504,-165.7
38.0326,-112.8509,-164.4
38.0325,-112.8513,-162.1
38.0324,-112.8517,-133.2
38.0323,-112.8522,-96.2
38.0322,-112.8526,-77.3
38.0321,-112.853,-71.7
38.032,-112.8535,-76.7
38.0319,-112.8539,-69.1
38.0318,-112.8543,-54.1
38.0317,-112.8548,-32.1
38.0316,-112.8552,3.3
38.0315,-112.8556,22.9
38.0314,-112.8561,32.4
38.0313,-112.8565,38.2
38.0312,-112.8569,39.5
38.0311,-112.8574,44.0
38.031,-112.8578,58.1
38.0309,-112.8582,80.6
38.0308,-112.8587,114.7
38.0307,-112.8591,147.1
38.0306,-112.8595,175.9
38.0305,-112.86,196.6
38.0304,-112.8604,210.3
38.0303,-112.8608,216.8
38.0302,-112.8613,215.7
38.0301,-112.8617,208.5
38.03,-112.8621,192.7
38.0299,-112.8626,171.9
38.0297,-112.863,149.0
38.0296,-112.8634,125.6
38.0295,-112.8639,98.5
38.0294,-112.8643,69.8
38.0293,-112.8647,49.1
38.0292,-112.8652,47.5
38.0291,-112.8656,68.7
38.029,-112.866,109.7
38.0289,-112.8665,157.4
38.0288,-112.8669,182.6
38.0287,-112.8673,181.8
38.0286,-112.8678,166.7
38.0285,-112.8682,144.6
38.0284,-112.8686,121.7
38.0283,-112.8691,105.6
38.0282,-112.8695,95.3
38.0281,-112.8699,102.0
38.028,-112.8704,109.5
38.0279,-112.8708,110.3
38.0278,-112.8712,114.6
38.0277,-112.8717,104.6
38.0276,-112.8721,98.4
38.0275,-112.8725,90.3
38.0274,-112.873,90.9
38.0273,-112.8734,96.7
38.0272,-112.8738,103.8
38.0271,-112.8743,91.4
38.027,-112.8747,70.2
38.0269,-112.8751,33.0
38.0268,-112.8756,6.5
38.0267,-112.876,-11.5
38.0266,-112.8764,-35.0
38.0265,-112.8769,-70.2
38.0264,-112.8773,-113.4
38.0263,-112.8777,-151.1
38.0263,-112.9022,-65.8
38.0263,-112.9027,-48.3
38.0263,-112.9032,-32.8
38.0263,-112.9037,-23.4
38.0264,-112.9042,-15.8
